School,Division,Team,City,State,Primary Conference
Abilene Christian University,D1,Wildcats,Abilene,Texas,Southland Conference
University of Akron,D1,Zips,Akron,Ohio,Mid-American Conference
University of Alabama,D1,Crimson Tide,Tuscaloosa,Alabama,Southeastern Conference
Alabama Agricultural and Mechanical University,D1,Bulldogs and Lady Bulldogs,Huntsville,Alabama,Southwestern Athletic Conference
University of Alabama at Birmingham,D1,Blazers,Birmingham,Alabama,Conference USA
Alabama State University,D1,Hornets and Lady Hornets,Montgomery,Alabama,Southwestern Athletic Conference
University at Albany, SUNY,D1,Great Danes,Albany,New York,America East Conference
Alcorn State University,D1,Braves and Lady Braves,Lorman,Mississippi,Southwestern Athletic Conference
American University,D1,Eagles,Washington,District of Columbia,Patriot League
Appalachian State University,D1,Mountaineers,Boone,North Carolina,Sun Belt Conference
University of Arizona,D1,Wildcats,Tucson,Arizona,Pac-12 Conference
Arizona State University,D1,Sun Devils,Tempe,Arizona,Pac-12 Conference
University of Arkansas,D1,Razorbacks and Razorback women,Fayetteville,Arkansas,Southeastern Conference
University of Arkansas at Little Rock,D1,Trojans,Little Rock,Arkansas,Sun Belt Conference
University of Arkansas at Pine Bluff,D1,Golden Lions and Golden Lady Lions,Pine Bluff,Arkansas,Southwestern Athletic Conference
Arkansas State University,D1,Red Wolves,Jonesboro,Arkansas,Sun Belt Conference
Auburn University,D1,Tigers,Auburn,Alabama,Southeastern Conference
Austin Peay State University,D1,Governors and Lady Govs,Clarksville,Tennessee,Ohio Valley Conference
Ball State University,D1,Cardinals,Muncie,Indiana,Mid-American Conference
Baylor University,D1,Bears and Lady Bears,Waco,Texas,Big 12 Conference
Belmont University,D1,Bruins,Nashville,Tennessee,Ohio Valley Conference
Bethune-Cookman University,D1,Wildcats,Daytona Beach,Florida,Mid-Eastern Athletic Conference
Binghamton University,D1,Bearcats,Vestal,New York,America East Conference
Boise State University,D1,Broncos,Boise,Idaho,Mountain West Conference
Boston College,D1,Eagles,Chestnut Hill,Massachusetts,Atlantic Coast Conference
Boston University,D1,Terriers,Boston,Massachusetts,Patriot League
Bowling Green State University,D1,Falcons,Bowling Green,Ohio,Mid-American Conference
Bradley University,D1,Braves,Peoria,Illinois,Missouri Valley Conference
Brigham Young University,D1,Cougars,Provo,Utah,West Coast Conference
Brown University,D1,Bears,Providence,Rhode Island,Ivy League
Bryant University,D1,Bulldogs,Smithfield,Rhode Island,Northeast Conference
Bucknell University,D1,Bison,Lewisburg,Pennsylvania,Patriot League
University at Buffalo,D1,Bulls,Buffalo,New York,Mid-American Conference
Butler University,D1,Bulldogs,Indianapolis,Indiana,Big East Conference
University of California, Berkeley,D1,Golden Bears,Berkeley,California,Pac-12 Conference
University of California, Davis,D1,Aggies,Davis,California,Big West Conference
University of California, Irvine,D1,Anteaters,Irvine,California,Big West Conference
University of California, Los Angeles,D1,Bruins,Los Angeles,California,Pac-12 Conference
California Polytechnic State University,D1,Mustangs,San Luis Obispo,California,Big West Conference
University of California, Riverside,D1,Highlanders,Riverside,California,Big West Conference
University of California, Santa Barbara,D1,Gauchos,Santa Barbara,California,Big West Conference
California State University, Bakersfield,D1,Roadrunners,Bakersfield,California,Western Athletic Conference
California State University, Fresno,D1,Bulldogs,Fresno,California,Mountain West Conference
California State University, Fullerton,D1,Titans,Fullerton,California,Big West Conference
California State University, Long Beach,D1,49ers,Long Beach,California,Big West Conference
California State University, Northridge,D1,Matadors,Northridge,California,Big West Conference
California State University, Sacramento,D1,Hornets,Sacramento,California,Big Sky Conference
Campbell University,D1,Fighting Camels and Lady Camels,Buies Creek,North Carolina,Big South Conference
Canisius College,D1,Golden Griffins,Buffalo,New York,Metro Atlantic Athletic Conference
University of Central Arkansas,D1,Bears and Sugar Bears,Conway,Arkansas,Southland Conference
Central Connecticut State University,D1,Blue Devils,New Britain,Connecticut,Northeast Conference
University of Central Florida,D1,Knights,Orlando,Florida,American Athletic Conference
Central Michigan University,D1,Chippewas,Mount Pleasant,Michigan,Mid-American Conference
College of Charleston,D1,Cougars,Charleston,South Carolina,Colonial Athletic Association
Charleston Southern University,D1,Buccaneers,Charleston,South Carolina,Big South Conference
Chicago State University,D1,Cougars,Chicago,Illinois,Western Athletic Conference
University of Cincinnati,D1,Bearcats,Cincinnati,Ohio,American Athletic Conference
The Citadel,D1,Bulldogs,Charleston,South Carolina,Southern Conference
Clemson University,D1,Tigers,Clemson,South Carolina,Atlantic Coast Conference
Cleveland State University,D1,Vikings,Cleveland,Ohio,Horizon League
Coastal Carolina University,D1,Chanticleers,Conway,South Carolina,Sun Belt Conference
Colgate University,D1,Raiders,Hamilton,New York,Patriot League
University of Colorado Boulder,D1,Buffaloes,Boulder,Colorado,Pac-12 Conference
Colorado State University,D1,Rams,Fort Collins,Colorado,Mountain West Conference
Columbia University,D1,Lions,Manhattan,New York,Ivy League
University of Connecticut,D1,Huskies,Storrs,Connecticut,American Athletic Conference
Coppin State University,D1,Eagles,Baltimore,Maryland,Mid-Eastern Athletic Conference
Cornell University,D1,Big Red,Ithaca,New York,Ivy League
Creighton University,D1,Bluejays,Omaha,Nebraska,Big East Conference
Dartmouth College,D1,Big Green,Hanover,New Hampshire,Ivy League
Davidson College,D1,Wildcats,Davidson,North Carolina,Atlantic 10 Conference
University of Dayton,D1,Flyers,Dayton,Ohio,Atlantic 10 Conference
University of Delaware,D1,Fightin' Blue Hens,Newark,Delaware,Colonial Athletic Association
Delaware State University,D1,Hornets and Lady Hornets,Dover,Delaware,Mid-Eastern Athletic Conference
University of Denver,D1,Pioneers,Denver,Colorado,The Summit League
DePaul University,D1,Blue Demons,Chicago,Illinois,Big East Conference
University of Detroit Mercy,D1,Titans,Detroit,Michigan,Horizon League
Drake University,D1,Bulldogs,Des Moines,Iowa,Missouri Valley Conference
Drexel University,D1,Dragons,Philadelphia,Pennsylvania,Colonial Athletic Association
Duke University,D1,Blue Devils,Durham,North Carolina,Atlantic Coast Conference
Duquesne University,D1,Dukes,Pittsburgh,Pennsylvania,Atlantic 10 Conference
East Carolina University,D1,Pirates and Lady Pirates,Greenville,North Carolina,American Athletic Conference
East Tennessee State University,D1,Buccaneers and Lady Buccaneers,Johnson City,Tennessee,Southern Conference
Eastern Illinois University,D1,Panthers,Charleston,Illinois,Ohio Valley Conference
Eastern Kentucky University,D1,Colonels,Richmond,Kentucky,Ohio Valley Conference
Eastern Michigan University,D1,Eagles,Ypsilanti,Michigan,Mid-American Conference
Eastern Washington University,D1,Eagles,Cheney,Washington,Big Sky Conference
Elon University,D1,Phoenix,Elon,North Carolina,Colonial Athletic Association
University of Evansville,D1,Purple Aces,Evansville,Indiana,Missouri Valley Conference
Fairfield University,D1,Stags,Fairfield,Connecticut,Metro Atlantic Athletic Conference
Fairleigh Dickinson University,D1,Knights,Hackensack,New Jersey,Northeast Conference
University of Florida,D1,Gators,Gainesville,Florida,Southeastern Conference
Florida A&M University,D1,Rattlers and Lady Rattlers,Tallahassee,Florida,Mid-Eastern Athletic Conference
Florida Atlantic University,D1,Owls,Boca Raton,Florida,Conference USA
Florida Gulf Coast University,D1,Eagles,Fort Myers,Florida,Atlantic Sun Conference
Florida International University,D1,Panthers,Miami,Florida,Conference USA
Florida State University,D1,Seminoles,Tallahassee,Florida,Atlantic Coast Conference
Fordham University,D1,Rams,Bronx,New York,Atlantic 10 Conference
Furman University,D1,Paladins and Lady Paladins,Greenville,South Carolina,Southern Conference
Gardner-Webb University,D1,Runnin' Bulldogs,Boiling Springs,North Carolina,Big South Conference
George Mason University,D1,Patriots,Fairfax,Virginia,Atlantic 10 Conference
George Washington University,D1,Colonials,Washington,District of Columbia,Atlantic 10 Conference
Georgetown University,D1,Hoyas,Washington,District of Columbia,Big East Conference
University of Georgia,D1,Bulldogs and Lady Bulldogs,Athens,Georgia,Southeastern Conference
Georgia Institute of Technology,D1,Yellow Jackets,Atlanta,Georgia,Atlantic Coast Conference
Georgia Southern University,D1,Eagles and Lady Eagles,Statesboro,Georgia,Sun Belt Conference
Georgia State University,D1,Panthers,Atlanta,Georgia,Sun Belt Conference
Gonzaga University,D1,Bulldogs,Spokane,Washington,West Coast Conference
Grambling State University,D1,Tigers and Lady Tigers,Grambling,Louisiana,Southwestern Athletic Conference
Grand Canyon University,D1,Antelopes,Phoenix,Arizona,Western Athletic Conference
Hampton University,D1,Pirates and Lady Pirates,Hampton,Virginia,Big South Conference
University of Hartford,D1,Hawks,West Hartford,Connecticut,America East Conference
Harvard University,D1,Crimson,Cambridge,Massachusetts,Ivy League
University of Hawaii at Manoa,D1,Rainbow Warriors and Rainbow Wahine,Honolulu,Hawaii,Big West Conference
High Point University,D1,Panthers,High Point,North Carolina,Big South Conference
Hofstra University,D1,Pride,Hempstead,New York,Colonial Athletic Association
College of the Holy Cross,D1,Crusaders,Worcester,Massachusetts,Patriot League
University of Houston,D1,Cougars,Houston,Texas,American Athletic Conference
Houston Baptist University,D1,Huskies,Houston,Texas,Southland Conference
Howard University,D1,Bison and Lady Bison,Washington,District of Columbia,Mid-Eastern Athletic Conference
University of Idaho,D1,Vandals,Moscow,Idaho,Big Sky Conference
Idaho State University,D1,Bengals,Pocatello,Idaho,Big Sky Conference
University of Illinois at Chicago,D1,Flames,Chicago,Illinois,Horizon League
Illinois State University,D1,Redbirds,Normal,Illinois,Missouri Valley Conference
University of Illinois at Urbana-Champaign,D1,Fighting Illini,Urbana-Champaign,Illinois,Big Ten Conference
University of the Incarnate Word,D1,Cardinals,San Antonio,Texas,Southland Conference
Indiana University,D1,Hoosiers,Bloomington,Indiana,Big Ten Conference
Indiana State University,D1,Sycamores,Terre Haute,Indiana,Missouri Valley Conference
Indiana University - Purdue University Indianapolis,D1,Jaguars,Indianapolis,Indiana,Horizon League
Iona College,D1,Gaels,New Rochelle,New York,Metro Atlantic Athletic Conference
University of Iowa,D1,Hawkeyes,Iowa City,Iowa,Big Ten Conference
Iowa State University,D1,Cyclones,Ames,Iowa,Big 12 Conference
Jackson State University,D1,Tigers and Lady Tigers,Jackson,Mississippi,Southwestern Athletic Conference
Jacksonville University,D1,Dolphins,Jacksonville,Florida,Atlantic Sun Conference
Jacksonville State University,D1,Gamecocks,Jacksonville,Alabama,Ohio Valley Conference
James Madison University,D1,Dukes,Harrisonburg,Virginia,Colonial Athletic Association
University of Kansas,D1,Jayhawks,Lawrence,Kansas,Big 12 Conference
Kansas State University,D1,Wildcats,Manhattan,Kansas,Big 12 Conference
Kennesaw State University,D1,Owls and Lady Owls,Kennesaw,Georgia,Atlantic Sun Conference
Kent State University,D1,Golden Flashes,Kent,Ohio,Mid-American Conference
University of Kentucky,D1,Wildcats,Lexington,Kentucky,Southeastern Conference
La Salle University,D1,Explorers,Philadelphia,Pennsylvania,Atlantic 10 Conference
Lafayette College,D1,Leopards,Easton,Pennsylvania,Patriot League
Lamar University,D1,Cardinals and Lady Cardinals,Beaumont,Texas,Southland Conference
Lehigh University,D1,Mountain Hawks,Bethlehem,Pennsylvania,Patriot League
Liberty University,D1,Flames and Lady Flames,Lynchburg,Virginia,Atlantic Sun Conference
Lipscomb University,D1,Bisons and Lady Bisons,Nashville,Tennessee,Atlantic Sun Conference
Long Island University-Brooklyn ,D1,Blackbirds,Brooklyn,New York,Northeast Conference
Longwood University,D1,Lancers,Farmville,Virginia,Big South Conference
University of Louisiana at Lafayette,D1,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt Conference
University of Louisiana at Monroe,D1,Warhawks,Monroe,Louisiana,Sun Belt Conference
Louisiana State University,D1,Tigers and Lady Tigers,Baton Rouge,Louisiana,Southeastern Conference
Louisiana Tech University,D1,Bulldogs and Lady Techsters,Ruston,Louisiana,Conference USA
University of Louisville,D1,Cardinals,Louisville,Kentucky,Atlantic Coast Conference
Loyola University Chicago,D1,Ramblers,Chicago,Illinois,Missouri Valley Conference
Loyola University Maryland,D1,Greyhounds,Baltimore,Maryland,Patriot League
Loyola Marymount University,D1,Lions,Los Angeles,California,West Coast Conference
University of Maine,D1,Black Bears,Orono,Maine,America East Conference
Manhattan College,D1,Jaspers and Lady Jaspers,Riverdale,New York,Metro Atlantic Athletic Conference
Marist College,D1,Red Foxes,Poughkeepsie,New York,Metro Atlantic Athletic Conference
Marquette University,D1,Golden Eagles,Milwaukee,Wisconsin,Big East Conference
Marshall University,D1,Thundering Herd,Huntington,West Virginia,Conference USA
University of Maryland, Baltimore County,D1,Retrievers,Catonsville,Maryland,America East Conference
University of Maryland, College Park,D1,Terrapins,College Park,Maryland,Big Ten Conference
University of Maryland Eastern Shore,D1,Hawks and Lady Hawks,Princess Anne,Maryland,Mid-Eastern Athletic Conference
University of Massachusetts Amherst,D1,Minutemen and Minutewomen,Amherst,Massachusetts,Atlantic 10 Conference
University of Massachusetts Lowell,D1,River Hawks,Lowell,Massachusetts,America East Conference
McNeese State University,D1,Cowboys and Cowgirls,Lake Charles,Louisiana,Southland Conference
University of Memphis,D1,Tigers,Memphis,Tennessee,American Athletic Conference
Mercer University,D1,Bears,Macon,Georgia,Southern Conference
University of Miami,D1,Hurricanes,Coral Gables,Florida,Atlantic Coast Conference
Miami University,D1,Redhawks,Oxford,Ohio,Mid-American Conference
University of Michigan,D1,Wolverines,Ann Arbor,Michigan,Big Ten Conference
Michigan State University,D1,Spartans,East Lansing,Michigan,Big Ten Conference
Middle Tennessee State University,D1,Blue Raiders,Murfreesboro,Tennessee,Conference USA
University of Minnesota,D1,Golden Gophers,Minneapolis-Saint Paul,Minnesota,Big Ten Conference
University of Mississippi,D1,Rebels,Oxford,Mississippi,Southeastern Conference
Mississippi State University,D1,Bulldogs,Starkville,Mississippi,Southeastern Conference
Mississippi Valley State University,D1,Delta Devils and Devilettes,Itta Bena,Mississippi,Southwestern Athletic Conference
University of Missouri,D1,Tigers,Columbia,Missouri,Southeastern Conference
University of Missouri-Kansas City,D1,Kangaroos,Kansas City,Missouri,Western Athletic Conference
Missouri State University,D1,Bears and Lady Bears,Springfield,Missouri,Missouri Valley Conference
Monmouth University,D1,Hawks,West Long Branch,New Jersey,Metro Atlantic Athletic Conference
University of Montana,D1,Grizzlies,Missoula,Montana,Big Sky Conference
Montana State University,D1,Bobcats,Bozeman,Montana,Big Sky Conference
Morehead State University,D1,Eagles,Morehead,Kentucky,Ohio Valley Conference
Morgan State University,D1,Bears and Lady Bears,Baltimore,Maryland,Mid-Eastern Athletic Conference
Mount St. Mary's University,D1,Mountaineers,Emmitsburg,Maryland,Northeast Conference
Murray State University,D1,Racers,Murray,Kentucky,Ohio Valley Conference
University of Nebraska-Lincoln,D1,Cornhuskers,Lincoln,Nebraska,Big Ten Conference
University of Nebraska Omaha,D1,Mavericks,Omaha,Nebraska,The Summit League
University of Nevada, Las Vegas,D1,Rebels,Paradise,Nevada,Mountain West Conference
University of Nevada, Reno,D1,Wolf Pack,Reno,Nevada,Mountain West Conference
University of New Hampshire,D1,Wildcats,Durham,New Hampshire,America East Conference
New Jersey Institute of Technology,D1,Highlanders,Newark,New Jersey,Atlantic Sun Conference
