Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,12/15/2016,7:01 p.m.,USC Upstate,21,61,10,33,9,16,61,13,20,33,9,13,3,1,17,Alabama,31,58,6,20,10,18,78,11,33,44,16,10,3,4,16
Men,2017,D1,12/15/2016,7:01 p.m.,Alabama,31,58,6,20,10,18,78,11,33,44,16,10,3,4,16,USC Upstate,21,61,10,33,9,16,61,13,20,33,9,13,3,1,17
Women,2016,D2,11/06/2015,5:15 pm,New Hope Christian,9,58,2,26,6,11,26,14,17,31,7,28,0,2,13,Alas. Anchorage,42,82,10,27,7,11,101,21,36,57,29,9,18,6,15
Women,2016,D2,11/06/2015,5:15 pm,Alas. Anchorage,42,82,10,27,7,11,101,21,36,57,29,9,18,6,15,New Hope Christian,9,58,2,26,6,11,26,14,17,31,7,28,0,2,13
Men,2017,D3,12/07/2016,8:00 pm,Allegheny,26,59,13,28,4,7,69,4,17,21,15,8,5,3,13,Kenyon,34,66,8,24,5,7,81,16,32,48,18,11,3,0,8
Men,2017,D3,12/07/2016,8:00 pm,Kenyon,34,66,8,24,5,7,81,16,32,48,18,11,3,0,8,Allegheny,26,59,13,28,4,7,69,4,17,21,15,8,5,3,13
Women,2016,D1,01/22/2016,7:02 pm MT,Arizona,20,40,3,7,6,9,49,9,26,35,10,27,3,0,19,Arizona St.,22,51,6,19,11,15,61,7,13,20,18,13,17,1,15
Women,2016,D1,01/22/2016,7:02 pm MT,Arizona St.,22,51,6,19,11,15,61,7,13,20,18,13,17,1,15,Arizona,20,40,3,7,6,9,49,9,26,35,10,27,3,0,19
Men,2017,D1,03/10/2017,8:40 pm,UCLA,24,59,4,25,23,26,75,7,25,32,16,14,3,5,23,Arizona,28,56,10,20,20,32,86,12,26,38,14,14,9,2,20
Men,2017,D1,03/10/2017,8:40 pm,Arizona,28,56,10,20,20,32,86,12,26,38,14,14,9,2,20,UCLA,24,59,4,25,23,26,75,7,25,32,16,14,3,5,23
Women,2017,D3,01/07/2017,2:00 P.M.,RIT,38,68,13,22,6,9,95,14,29,43,30,6,11,2,9,Bard,11,46,4,10,3,4,29,7,18,25,7,22,5,2,8
Women,2017,D3,01/07/2017,2:00 P.M.,Bard,11,46,4,10,3,4,29,7,18,25,7,22,5,2,8,RIT,38,68,13,22,6,9,95,14,29,43,30,6,11,2,9
Women,2017,D2,02/18/2017,1:00 p.m.,Bloomsburg,20,55,3,15,18,27,61,15,21,36,10,22,4,1,20,East Stroudsburg,31,55,9,22,16,23,87,5,26,31,10,13,12,3,27
Women,2017,D2,02/18/2017,1:00 p.m.,East Stroudsburg,31,55,9,22,16,23,87,5,26,31,10,13,12,3,27,Bloomsburg,20,55,3,15,18,27,61,15,21,36,10,22,4,1,20
Women,2016,D3,02/10/2016,5:30 PM,Colby-Sawyer,18,62,6,21,9,16,51,9,24,33,13,9,6,3,28,Johnson St.,19,58,3,15,22,28,63,10,23,33,13,8,4,2,14
Women,2016,D3,02/10/2016,5:30 PM,Johnson St.,19,58,3,15,22,28,63,10,23,33,13,8,4,2,14,Colby-Sawyer,18,62,6,21,9,16,51,9,24,33,13,9,6,3,28
Women,2016,D3,02/02/2016,5:30 pm,Colby-Sawyer,10,43,3,21,4,10,27,9,23,32,7,31,7,7,7,Castleton,27,61,6,17,9,10,69,11,28,39,22,14,15,5,16
Women,2016,D3,02/02/2016,5:30 pm,Castleton,27,61,6,17,9,10,69,11,28,39,22,14,15,5,16,Colby-Sawyer,10,43,3,21,4,10,27,9,23,32,7,31,7,7,7
Women,2017,D3,02/14/2017,6:30 pm,Daniel Webster,24,61,8,26,7,12,63,8,23,31,15,17,12,0,19,Wheelock,24,65,5,22,19,21,72,19,32,51,13,15,9,1,14
