Gender,Year,Divison,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls,GP,Win,Loss,OREB%,DREB%,POSS,opp_POSS,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,ORtg,DRtg,NetRtg
Men,2017,D1,La.-Monroe,88,241,30,99,36,52,242,51,105,156,44,58,12,10,67,105,228,31,83,47,74,288,32,107,139,50,35,33,26,56,4,0,4,0.32,0.77,272.7,266.15,0.5,0.8874220755408875,1.0820965620890477,0.42738589211618255,0.5285087719298246,0.2126879354602127,0.2157676348547718,0.4107883817427386,0.04508735675371032,0.043859649122807015,88.74220755408875,108.20965620890478,-19.467448654816025
Women,2016,D1,Iowa St.,34,115,9,42,27,28,104,20,39,59,14,23,10,2,24,49,115,15,39,26,32,139,30,61,91,30,30,10,10,34,2,0,2,0.25,0.57,131.3,130.2,0.4117647058823529,0.792079207920792,1.0675883256528418,0.3347826086956522,0.49130434782608695,0.17517136329017516,0.24347826086956523,0.3652173913043478,0.07680491551459294,0.017391304347826087,79.20792079207921,106.75883256528418,-27.550911773204973
Men,2016,D2,Belmont Abbey,24,52,9,22,11,16,68,4,17,21,8,18,5,4,21,36,64,6,15,17,22,95,14,27,41,7,13,8,3,17,1,0,1,0.13,0.55,73.6,73.45,0.3333333333333333,0.923913043478261,1.2933968686181074,0.5480769230769231,0.609375,0.24456521739130438,0.3076923076923077,0.4230769230769231,0.06807351940095302,0.0625,92.3913043478261,129.33968686181075,-36.948382513984654
Men,2017,D2,Oakland,50,112,16,42,26,40,142,16,54,70,38,26,24,16,42,42,120,12,40,34,44,130,28,52,80,32,28,4,6,32,2,2,0,0.24,0.66,141.0,140.9,0.76,1.0070921985815602,0.9226401703335698,0.5178571428571429,0.4,0.18439716312056736,0.35714285714285715,0.375,0.170333569907736,0.13333333333333333,100.70921985815602,92.26401703335698,8.44520282479904
Women,2016,D3,St. Olaf,80,240,28,96,24,35,212,52,99,151,51,51,36,14,69,65,221,15,69,37,54,182,59,110,169,32,72,23,7,56,4,2,2,0.32,0.63,255.625,259.65,0.6375,0.8293398533007335,0.700943577893318,0.39166666666666666,0.32805429864253394,0.19951100244498776,0.14583333333333334,0.4,0.13864818024263434,0.06334841628959276,82.93398533007334,70.0943577893318,12.839627540741546
Women,2016,D1,Tennessee,71,175,6,20,38,57,186,41,79,120,26,36,18,12,60,64,185,18,49,41,54,187,48,73,121,34,32,13,10,60,3,1,2,0.36,0.62,197.075,194.65,0.36619718309859156,0.9438031206393506,0.9606986899563319,0.4228571428571429,0.3945945945945946,0.1826715717366485,0.32571428571428573,0.11428571428571428,0.09247367069098382,0.06486486486486487,94.38031206393505,96.06986899563319,-1.6895569316981351
Men,2016,D3,Mo.-St. Louis,27,53,8,20,12,15,74,8,34,42,19,20,3,1,22,23,62,3,16,9,18,58,11,21,32,11,12,13,3,16,1,1,0,0.28,0.76,72.125,71.55,0.7037037037037037,1.025996533795494,0.8106219426974144,0.5849056603773585,0.3951612903225806,0.2772963604852686,0.2830188679245283,0.37735849056603776,0.041928721174004195,0.016129032258064516,102.5996533795494,81.06219426974144,21.537459109807955
Men,2017,D3,Marywood,48,123,13,41,18,31,127,23,65,88,26,27,5,11,36,44,123,12,45,40,51,140,20,56,76,22,16,12,4,29,2,0,2,0.29,0.76,141.725,143.225,0.5416666666666666,0.8961016052213795,0.9774829813230931,0.44308943089430897,0.4065040650406504,0.190509790086435,0.25203252032520324,0.3333333333333333,0.03491010647582475,0.08943089430894309,89.61016052213795,97.7482981323093,-8.138137610171356
Men,2017,D1,Illinois,102,212,21,63,31,44,256,30,95,125,52,52,11,5,68,104,222,29,79,41,57,278,31,84,115,46,34,23,6,62,4,1,3,0.26,0.75,254.89999999999998,252.075,0.5098039215686274,1.0043154178109064,1.1028463750867799,0.5306603773584906,0.5337837837837838,0.20400156924284035,0.20754716981132076,0.2971698113207547,0.0436378062084697,0.02252252252252252,100.43154178109064,110.28463750867799,-9.853095727587345
Women,2016,D3,Skidmore,29,55,9,19,15,23,82,8,27,35,17,32,16,2,29,20,60,6,17,27,39,73,18,22,40,11,28,14,1,21,1,1,0,0.27,0.6,89.925,88.525,0.5862068965517241,0.9118710036141229,0.8246258119175374,0.6090909090909091,0.38333333333333336,0.35585209897136505,0.41818181818181815,0.34545454545454546,0.180739903981926,0.03333333333333333,91.18710036141229,82.46258119175374,8.72451916965855
